,user_id,server,date,comment,title
0,망겜의요정 , 카인,2022.04.03 (10:01),귓속말 미션좀 없애라 핫폰을 쓸수가 없잖아 멍청한놈들아,최고 레벨 확장의 방향성에 대해 말씀드립니다
1,입양해주세요 , 프레이,2022.04.04 (16:38),재밌게 하고 있습니다. 윤명진 디렉터님 화이팅!,최고 레벨 확장의 방향성에 대해 말씀드립니다
2,기역천수라 , 카인,2022.04.04 (17:14),"어썰트의 아크방전까지 콤보로 잇기엔, 지금메타의 보스들은 너무 스피드하고 순식간에 이동합니다.어썰트의 아크방전을 100%가 되면 자동으로 방출하도록 바꿔주면 어썰트의 난이도는 대폭하락하고 충분히 즐길수 있을거같습니다.(잘난척 맨들을 위해 on/off 로 자동방출 선택가능)",최고 레벨 확장의 방향성에 대해 말씀드립니다
3,각성-조로 , 프레이,2022.04.04 (19:38),"다음방으로 넘어가려면 개미콧구멍만한 공간까지
$0도달해야 다음방으로 넘어가는걸로 인식되는데
$0굳이 이렇게 편의성을 불편하게 할필요있음?
$0
$0그냥 가령 한맵에서 3시방향이 다음맵으로 가야하는 방향이라면
$03시방향라인 아무데나 끝도달하면 다음방으로 가는걸로 인식좀하면 안됨??
$0
$0굳이 좁디 좁다란 구멍으로 도달시켜야하는거 은근 귀찬코 불편함
$0이런거되게사소하지만 개선좀했음 좋겠음..
$0
$0가령 심연의 편린 따는 맵처럼 좀 넓직하게 인식했으면 함.
$0",최고 레벨 확장의 방향성에 대해 말씀드립니다
4,20200712생성 , 카인,2022.04.05 (03:06),"지금 던 m에서는 옛날식 일던 지옥파티를 메인 컨텐츠로 인기를 끌고 잇는데
$0
$0피던에서도 인도 같은 헬 던 보다는 옛날 apc고유에픽 먹던 지옥파티식 컨텐츠 다시 살랴주세요
$0
$0안그래도 에소 쓸일도 없는데 인도석 활용처도 되고 에픽 상대적 획득량도 높히고 좋을 것 같습니다.
$0
$0지옥파티에서만 얻을 수 잇는 고유에픽 추가해서 파밍의 즐거움도 올리고요
$0
$0현재 에픽 잘떨어쟈서 뉴비입장에서 좋긴한데 너무 흔하게떠서 옛날처럼 에픽에 흥분하는 재미가 반감되엇습니다,
$0",최고 레벨 확장의 방향성에 대해 말씀드립니다
5,청소중만듬 , 디레지에,2022.04.05 (09:14),"상급 노말 입장명성 낮춘건 매우 잘한듯 초반진입에 흥미을 얻게 해준것 그 전 일던익스마스터 돌땐 아 십 노잼 븅 시간아깝다그 자체였음
재변 관련은 조치좀 해야할듯초반 노재변 많다든데?
그리고 방어구라인 대부분 교복임 종류만 쳐 많은 교복임오른쪽은 그나마?? 다양한것 같던데??? 왼쪽은 머 그냥 교복이드라",최고 레벨 확장의 방향성에 대해 말씀드립니다
6,파랴노이아 , 바칼,2022.04.05 (09:23),"★★★★★ 스킬의 단타화를 지양해주세요 ★★★★★★★★★★ 스킬의 단타화를 지양해주세요 ★★★★★
★★★★★ 스킬의 단타화를 지양해주세요 ★★★★★
★★★★★ 스킬의 단타화를 지양해주세요 ★★★★★
★★★★★ 스킬의 단타화를 지양해주세요 ★★★★★

스킬 타격횟수가 증가하고, 스킬 크기가 커지고 등등스킬이 변화해서 다른사람과 차별화된 세팅을 즐기는 사람들도 많습니다.
요새 던파는 짧은시간안에 스킬우겨넣기 대회라도 하듯20히트를 치는 멋있는 스킬이 1초에 10히트, 0.5초에 5히트만 치게 진화하고 있습니다.
과거 망6새3 툼스톤 샤워처럼스킬 시전시간이 조금 길더라도 그렇게 멋있는 스킬 감상할수 있게해주세요부탁드려요",최고 레벨 확장의 방향성에 대해 말씀드립니다
7,눈티밤티확마 , 카인,2022.04.05 (11:30),"디렉터님이 원한 다양성과 액션성이 기본기랑 평타만 쓰는 게임이였나요?
멋있게 잘 빠진 보스들 슈아받고 하루 왠 종일 평타랑 기본기만 쓰고 게이볼그도 기본기랑 평타만 쓰고 사도의 일원인 바칼도 평타랑 기본기로 줘 패서 죽이는 이게 윤명진씨가 말한 다양성과 액션성인가요?
이딴 게임 받아들이려고 반년 넘게 기다려왔냐요 이게 맞나요? 요즘 웹 소설들도 평타만 쓰는 내가 최강??! 같은 오글거리는 주제로 글 안씁니다
오타쿠들도 이딴 주제 안 받아 처먹는다구요
템 만들때 고민따윈 안하시나요 판타지를 게임으로 만들어서 팔아먹는 회사가 10년은 철 지난 컨셉을 가져와서 그것만 쓰게 만들어 둔답니까 아무도 안 말리던가요 이런 컨셉?",최고 레벨 확장의 방향성에 대해 말씀드립니다
8,썽로이 , 힐더,2022.04.07 (22:18),재밌기만하고만~~불만많네 물도 많아라,최고 레벨 확장의 방향성에 대해 말씀드립니다
9,톼3 , 카인,2022.04.08 (08:12),ㄴ 겜 찍먹이면 재밌을만 하지 ㅋㅋ 찍먹이나 잘 하다 가라 대충하는 놈아,최고 레벨 확장의 방향성에 대해 말씀드립니다
10,윾크루 , 카인,2022.04.05 (13:59),"무지성 단일에픽화로 인한 괴상한 다단히트 메타. 잡기 무적으로 상변옵션을 못받는 직업, 단타형 직업, 독립오브젝트를 가진 직업 등 옵션을 충분히 활용할 수 있는 안전장치가 필요합니다.",최고 레벨 확장의 방향성에 대해 말씀드립니다
11,치유적가슴 , 안톤,2022.04.05 (16:38),렉 안잡습니까 ♡♥♥♡ 렉걸리자나요 좀 고쳐주세요 진심 휘바 주머니에서돈꺼내갈라면 서비스좀 제대로 하라고요 그리고 드랍률 올리라고 윗동에 계신 ♡♥♥♡들하고 점점 인플레이션 심해지자나 ♡♥♥♡ 꽃밭인 사람들아,최고 레벨 확장의 방향성에 대해 말씀드립니다
12,.티모 , 카인,2022.04.06 (03:29),먼 렉 ㅋㅋ 똥컴탓이지,최고 레벨 확장의 방향성에 대해 말씀드립니다
