,user_id,server,date,comment,title
0,투척단M , 카인,2022.04.21 (21:43),솔직히 지금이 크로니클 이후로 가장 꿀잼인건확실함.. 크로니클때 정점 찍고 이후 에픽세팅이 주류가 되면서 점점 흥미가 떨어졌는데 지금 현재 메타가 딱 크로니클 열심히 맞추면서 재밌게 하던 시절이 떠올라서 좋네여.,4월 업데이트와 진행 상황에 대해 말씀드립니다
1,모나베일 , 디레지에,2022.04.21 (21:48),옛날처럼 열심히 하고 싶은데 이젠 시간도 안나고 늙어가서 힘들구만...부디 엿같은 PC에 물들지 마소서,4월 업데이트와 진행 상황에 대해 말씀드립니다
2,Vash , 안톤,2022.04.21 (22:29),피던 접고 모바일던 하라는 공지로 이해하겠습니다. 시즌 초 초심 잃고 GG 선언 하겠다는 거네요. 그냥 이럴거면 아이템이라도 자주 정가 가능하게 재료라도 왕창 뿌리십쇼. 어짜피 선택상자에서 에픽 최대 마스터 까지 밖에 더나옵니까?,4월 업데이트와 진행 상황에 대해 말씀드립니다
3,Vash , 안톤,2022.04.21 (22:31),액션성을 아이템 갖고 장난치다 결국 죽이셨네요.,4월 업데이트와 진행 상황에 대해 말씀드립니다
4,과르디올라펩 , 카인,2022.04.21 (22:52),아니 근데 궁금해서 그러는데 진짜 레어아바타는 왜 몇년째 안나오는겁니까? 이래도 되는건가요?,4월 업데이트와 진행 상황에 대해 말씀드립니다
5,3년노력 , 프레이,2022.04.23 (21:48),어중간한 중국풍 조잡한 레압나올빠엔 1~2차처럼 개성있는아바타나오는게 모두만족인거아닐까여 ㅋㅋ,4월 업데이트와 진행 상황에 대해 말씀드립니다
6,prayerofmoon , 카인,2022.04.21 (23:17),소환사를 대표로 한 독오캐들 공시옵 좀 어떻게 해 주십쇼... 그리고 현재 기획 중이신 크리쳐 관련 컨텐츠는... 고인물들도 떨어져 나가게 할 것 같으니 없던 일로 하시는 게 좋을 듯 합니다.,4월 업데이트와 진행 상황에 대해 말씀드립니다
7,Player , 안톤,2022.04.21 (23:34),"그... 남들이 욕할 때 욕하고 싶진 않아서, 아무 말도 하진 않겠습니다. 저는 무기가 터져서, 아라드 보상만 받고 당분간은 그만두려고 합니다. 왜냐하면, 새로 넣을 수 있는 돈이 없거든요 ㅎㅎ... 게임은 하고 싶지만, 게임을 할 돈은 없어요 하하하.. 으앙ㅋㅋㅋㅋㅋ 아무튼. 저는 던파 재미있었어요. 어떤 이는 데이터 쪼가리에 왜 돈을 썼었냐. 고 말을 할 지도 모르겠습니다만, 저 같은 경우엔, 내가 냈었던 돈 만큼 즐겼다. 고 생각을 하고 있어서요. 좀 많이 비싸기도 했었고, 이젠 아무 것도 남지 않겠으나, 아무려면 어떻습니까. 그냥 적당히 게임 즐기다 가는 건데. 다들 즐겜~ ㅂㅂ~",4월 업데이트와 진행 상황에 대해 말씀드립니다
8,워록 , 디레지에,2022.04.21 (23:59),여전히 익스-마스터 격차가 너무심해요ㅠㅠ,4월 업데이트와 진행 상황에 대해 말씀드립니다
9,체이서폭주 , 카인,2022.04.22 (00:18),고생이시네~ㅎ,4월 업데이트와 진행 상황에 대해 말씀드립니다
